과 목,제 46 (당) 기,,제 45 (전) 기,
Ⅰ. 미처분이익잉여금,,"14,516,403",,"17,854,184"
1. 전기이월이익잉여금,30,,30,
2. 중간배당액 당기 - 주당배당금(률) : 500원(10%) 전기 - 주당배당금(률) : 500원(10%),"(75,408)",,"(75,366)",
3. 당기순이익,"14,591,781",,"17,929,520",
Ⅱ. 이익잉여금처분액,,"14,516,373",,"17,854,154"
1. 기업합리화적립금,"4,000,000",,"5,000,000",
"2. 배당금 주당배당금(률) 당기 - 보통주 : 19,500원(390%) 우선주 : 19,550원(391%) 전기 - 보통주 : 13,800원(276%) 우선주 : 13,850원(277%)","2,924,564",,"2,081,603",
3. 연구및인력개발준비금,"6,000,000",,"8,000,000",
4. 시설적립금,"1,591,809",,"2,772,551",
Ⅲ. 차기이월미처분이익잉여금,,30,,30
