구 분,당기,전기
1. 매출채권의 증가,"(1,348,246)","(606,641)"
2. 미수금의 감소(증가),"513,161","(365,689)"
3. 선급금의 감소(증가),"30,300","(126,468)"
4. 장단기선급비용의 증가,"(1,937,426)","(308,493)"
5. 재고자산의 증가,"(125,693)","(687,461)"
6. 매입채무의 감소,"(1,039,814)","(28,345)"
7. 장단기미지급금의 증가,"1,451,830","736,298"
8. 선수금의 감소,"(1,758)","(75,067)"
9. 예수금의 증가,"84,534","54,754"
10. 미지급비용의 증가,"1,614,044","678,774"
11. 충당부채의 (감소)증가,"(674,588)","1,794,008"
12. 퇴직금의 지급,"(332,498)","(210,400)"
13. 사외적립자산의 증가,"(2,975,072)","(599,493)"
14. 기타,"109,322","33,246"
계,"(4,631,904)","289,023"
