구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,"5,946,296","8,321,327","21,321,365","5,248,370","602,014","41,439,372"
취득원가,"5,946,296","11,919,933","74,175,971","5,248,370","1,659,337","98,949,907"
감가상각누계액 (손상차손누계액 포함),-,"(3,598,606)","(52,854,606)",-,"(1,057,323)","(57,510,535)"
일반취득 및 자본적지출,"350,062","748,984","6,339,109","4,340,717","278,919","12,057,791"
감가상각,-,"(558,213)","(8,454,436)",-,"(206,713)","(9,219,362)"
처분/폐기,(820),"(51,684)","(152,922)",-,"(7,441)","(212,867)"
기타 (*),-,(801),"(7,612)","(298,441)","(13,821)","(320,675)"
기말장부가액,"6,295,538","8,459,613","19,045,504","9,290,646","652,958","43,744,259"
취득원가,"6,295,538","12,555,904","74,041,997","9,290,646","1,522,759","103,706,844"
감가상각누계액 (손상차손누계액 포함),-,"(4,096,291)","(54,996,493)",-,"(869,801)","(59,962,585)"
