지역,기업명,업종,지분율(%)(*)
유럽/CIS,SonoAce Deutschland(SMDE),의료기기,100
Samsung Electronics Rus(SER),마케팅,100,
Samsung Electronics Rus Company(SERC),전자제품 판매,100,
Samsung Electronics Ukraine(SEU),마케팅,100,
Samsung Electronics Baltics(SEB),전자제품 판매,100,
Samsung Electronics Ukraine Company(SEUC),전자제품 판매,100,
Samsung R&D Institute Rus(SRR),R&D,100,
Samsung Electronics Kazakhstan(SEK),마케팅,100,
Samsung Electronics Central Eurasia(SECE),전자제품 판매,100,
Samsung Electronics Rus Kaluga(SERK),TV 생산,100,
Samsung Russia Service Centre(SRSC),서비스,100,
Samsung Electronics(London) Limited(SEL),Holding Company,100,
Samsung Denmark Research Center(SDRC),R&D,100,
Samsung France Research Center(SFRC),R&D,100,
Samsung Cambridge Solution Centre(SCSC),R&D,100,
Samsung Electronics Switzerland GmbH(SESG),전자제품 판매,100,
PrinterOn Europe,프린팅솔루션 판매,100,
Samsung Electronics Caucasus(SECC),마케팅,100,
중동 및아프리카,Samsung Electronics West Africa(SEWA),마케팅,100
Samsung Electronics East Africa(SEEA),마케팅,100,
Samsung Gulf Electronics(SGE),전자제품 판매,100,
Samsung Electronics Egypt(SEEG),전자제품 생산 및 판매,100,
Samsung Electronics Israel(SEIL),마케팅,100,
Samsung Electronics Tunisia(SETN),마케팅,100,
Samsung Electronics Pakistan(SEPAK),마케팅,100,
Samsung Electronics South Africa(SSA),전자제품 판매,100,
Samsung Electronics Turkey(SETK),전자제품 판매,100,
Samsung Semiconductor Israel R&D Center(SIRC),R&D,100,
Samsung Electronics Levant(SELV),전자제품 판매,100,
Samsung Electronics Maghred Arab(SEMAG),전자제품 판매,100,
Samsung Electronics South Africa Production(SSAP),TV/모니터 생산,100,
