구분,기업명,채권 등,채무 등
종속기업,Tianjin Samsung Telecom Technology(TSTC),"367,530","462,285"
Samsung Electronics Europe Logistics(SELS),"1,132,173","2,117",
Thai Samsung Electronics(TSE),"226,308","87,749",
Samsung Electronics Slovakia(SESK),"71,520","1,364",
Samsung Electronics GmbH(SEG),"483,552","2,811",
Samsung Display Dongguan(SDD),"25,649",-,
Samsung Electronics Benelux(SEBN),"66,306",628,
Samsung Electronics Hungarian(SEH),"4,304",17,
Samsung Electronics Taiwan(SET),"131,759","15,013",
Samsung Electronics (UK)(SEUK),"83,265","21,433",
기타,"4,609,364","1,478,559",
종속기업 계(*1),"19,332,510","4,314,162",
관계기업 및 공동기업,삼성에스디에스,"3,248","262,038"
삼성전기,551,"121,623",
삼성카드,"1,104","1,154,974",
기타,"56,060","62,687",
관계기업 계,"60,963","1,601,322",
그 밖의특수관계자,삼성물산(*2),"186,200","1,293,898"
삼성SDI,"89,390","48,409",
기타,"14,274","66,696",
그 밖의 특수관계자 계,"289,864","1,409,003",
