구 분,내 역,,,,,,,,
전반감사계획(감사착수단계),수행시기,2015.5.18 ~ 6.52015.8.17 ~ 10.11,,,,,54,일,
주요내용,"감사경험, 회사 및 산업에 대한 전반적 이해를 바탕으로 감사위험 평가 및감사절차의 성격, 시기 및 범위 등을 결정",,,,,,,,
현장감사주요내용,수행시기,,,투입인원,,,,주요 감사업무 수행내용,
상주,,비상주,,,,,,,
2015.6.24 ~ 7.31,28,일,19,명,4,명,시스템 및 내부통제감사,,
2015.12.7 ~ 12.23,13,일,37,명,13,명,조기입증감사,,
2016.1.4 ~ 1.28,21,일,33,명,19,명,조회확인 등 입증절차 업데이트,,
2016.1.29 ~ 2.25,20,일,24,명,18,명,재무제표검증 및 감사종결절차 수행,,
재고자산실사(입회),실사(입회)시기,2015.11.30 / 12.1,,,,,2,일,
실사(입회)장소,"수원, 기흥, 구미, 광주 사업장 등",,,,,,,,
실사(입회)대상,"원재료, 재공품, 제품 등",,,,,,,,
금융자산실사(입회),실사(입회)시기,2016.1.7,,,,,1,일,
실사(입회)장소,"서초, 기흥 사업장",,,,,,,,
실사(입회)대상,"현금, 유가증권 등",,,,,,,,
외부조회,금융거래조회,O,,채권채무조회,,,O,변호사조회,O
기타조회,타처보관재고자산조회 등,,,,,,,,
지배기구와의커뮤니케이션,커뮤니케이션 횟수,4,,회,,,,,
수행시기,2015.4.28 / 2015.7.29 / 2015.10.28 / 2016.1.27,,,,,,,,
