과 목,주석,자본금,주식발행초과금,이익잉여금,기타자본항목,매각예정분류기타자본항목,총 계
2015.1.1 (전기초),,"897,514","4,403,893","134,464,189","(7,113,271)","24,750","132,677,075"
Ⅰ. 총포괄손익,,,,,,,
1. 당기순이익,,-,-,"12,238,469",-,-,"12,238,469"
2. 매도가능금융자산평가,"9, 23",-,-,-,"(601,594)","(24,750)","(626,344)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"225,048",-,"225,048"
4. 매각예정분류,,-,-,-,"(23,797)","23,797",-
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,,
1. 배당,"21, 22",-,-,"(3,073,481)",-,-,"(3,073,481)"
2. 자기주식의 취득,23,-,-,-,"(5,015,112)",-,"(5,015,112)"
3. 자기주식의 처분,23,-,-,-,"3,406",-,"3,406"
4. 주식선택권,,-,-,-,(806),-,(806)
2015.12.31 (전기말),,"897,514","4,403,893","143,629,177","(12,526,126)","23,797","136,428,255"
2016.1.1 (당기초),,"897,514","4,403,893","143,629,177","(12,526,126)","23,797","136,428,255"
Ⅰ. 총포괄손익,,,,,,,
1. 당기순이익,,-,-,"11,579,749",-,-,"11,579,749"
2. 매도가능금융자산평가,"9, 23",-,-,-,"(397,780)","(23,797)","(421,577)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"729,634",-,"729,634"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,,
1. 배당,"21, 22",-,-,"(3,061,361)",-,-,"(3,061,361)"
2. 자기주식의 취득,23,-,-,-,"(7,707,938)",-,"(7,707,938)"
3. 자기주식의 소각,23,-,-,"(11,399,991)","11,399,991",-,-
2016.12.31 (당기말),,"897,514","4,403,893","140,747,574","(8,502,219)",-,"137,546,762"
