기업명,자산,부채,매출액,당기순이익(손실)
삼성디스플레이,"39,225,460","6,586,259","26,397,111","1,673,165"
Samsung Electronics America(SEA),"14,875,687","7,562,099","35,766,374","268,083"
Samsung (China) Investment(SCIC),"12,748,395","11,040,055","11,461,304","(77,629)"
Samsung (China) Semiconductor(SCS),"9,742,388","5,537,446","2,610,462","171,644"
Samsung Electronics Europe Holding(SEEH),"6,989,207","5,223,523",-,"(31,925)"
Samsung Electronics Huizhou(SEHZ),"6,192,974","1,738,095","17,949,623","722,700"
Samsung Asia Private(SAPL),"4,227,798","504,256","1,392,926","957,734"
Shanghai Samsung Semiconductor(SSS),"3,792,437","3,207,942","14,372,358","141,232"
Samsung India Electronics(SIEL),"3,723,127","2,204,333","8,008,884","326,462"
Samsung Electronica da Amazonia(SEDA),"3,114,334","1,021,869","5,634,385","322,939"
Samsung Suzhou LCD(SSL),"2,784,122","1,634,304","1,024,881","76,099"
Tianjin Samsung Telecom Technology(TSTC),"2,075,123","778,133","6,963,943","146,972"
Samsung Electronics Europe Logistics(SELS),"1,894,614","1,793,917","12,943,676","(7,745)"
Thai Samsung Electronics(TSE),"1,889,410","416,382","3,949,756","179,527"
Samsung Electronics Slovakia(SESK),"1,888,341","373,886","3,480,848","107,968"
