구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,"6,289,122","11,238,107","21,578,887","5,457,754","584,759","45,148,629"
취득원가,"6,289,122","15,981,133","83,556,501","5,457,754","1,462,477","112,746,987"
감가상각누계액 (손상차손누계액 포함),-,"(4,743,026)","(61,977,614)",-,"(877,718)","(67,598,358)"
일반취득 및 자본적지출,"12,892","920,319","5,495,015","5,678,381","251,655","12,358,262"
감가상각,-,"(754,091)","(8,985,029)",-,"(209,427)","(9,948,547)"
처분/폐기,"(25,944)","(22,182)","(123,758)",-,"(5,710)","(177,594)"
기타,-,"(5,449)","(9,602)","(131,295)","(5,574)","(151,920)"
기말장부가액,"6,276,070","11,376,704","17,955,513","11,004,840","615,703","47,228,830"
취득원가,"6,276,070","16,852,926","86,461,021","11,004,840","1,569,937","122,164,794"
감가상각누계액 (손상차손누계액 포함),-,"(5,476,222)","(68,505,508)",-,"(954,234)","(74,935,964)"
