구 분,당기,전기
1. 매출채권의 증가,"(2,861,360)","(1,211,194)"
2. 미수금의 증가,"(214,730)","(246,935)"
3. 선급금의 감소(증가),"277,917","(128,192)"
4. 장단기선급비용의 (증가)감소,"(128,505)","437,406"
5. 재고자산의 증가,"(774,684)","(1,314,650)"
6. 매입채무의 증가(감소),"2,175,554","(775,150)"
7. 장단기미지급금의 증가,"1,846,464","155,782"
8. 선수금의 증가,"39,898","21,167"
9. 예수금의 증가(감소),"47,750","(256,963)"
10. 미지급비용의 증가(감소),"22,336","(1,219,506)"
11. 충당부채의 감소,"(2,094,578)","(121,675)"
12. 퇴직금의 지급,"(375,689)","(590,134)"
13. 사외적립자산의 감소,"28,149","98,080"
14. 기타,"423,100","(416,998)"
계,"(1,588,378)","(5,568,962)"
