구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"407,536",-,"1,309,566","6,958"
Samsung Electronics America(SEA),"27,304,190",-,"165,596",-,
Samsung (China) Investment(SCIC),"531,943",-,"8,069",-,
Samsung (China) Semiconductor(SCS),"250,323","73,599","4,141,842","9,496",
Samsung Electronics Vietnam(SEV),"2,832,861","2,732","10,270,592",44,
Samsung Electronics Europe Holding(SEEH),630,-,-,-,
Samsung Semiconductor(SSI),"15,747,630",-,"342,441",4,
Samsung Electronics Vietnam THAINGUYEN(SEVT),"3,542,388","26,966","11,462,924","2,700",
Samsung Electronics Huizhou(SEHZ),"1,134,957",261,"8,337,689","1,519",
Shanghai Samsung Semiconductor(SSS),"13,574,341",-,-,-,
Samsung Asia Private(SAPL),"1,360,136",-,"6,378",-,
Samsung Electronica da Amazonia(SEDA),"896,001",29,"5,449",-,
Samsung Austin Semiconductor(SAS),421,"61,495","3,586,127","4,410",
Samsung India Electronics(SIEL),"2,304,904","2,011","172,035",-,
Samsung Display Vietnam(SDV),"512,671",-,-,-,
Samsung Electronics Europe Logistics(SELS),"3,882,166",6,"9,735",-,
Samsung Suzhou LCD(SSL),"27,238",-,-,-,
Thai Samsung Electronics(TSE),"1,866,325",171,"1,595,265",-,
Samsung Electronics Slovakia(SESK),"407,437",27,"1,338",-,
Samsung Electronics Taiwan(SET),"2,333,465",-,801,-,
Samsung Electronics HCMC CE Complex(SEHC),"356,867","30,370","1,266,630",-,
Samsung Electronics Hungarian(SEH),"160,358",2,"3,213",108,
Samsung Electronics GmbH(SEG),"3,164,653",-,"28,507",-,
Samsung Display Dongguan(SDD),"296,104",-,-,-,
Samsung Electronics (UK)(SEUK),"449,346",-,"56,269",-,
기타,"34,476,164","8,757","22,563,761","4,402",
종속기업 계,"117,821,055","206,426","65,334,227","29,641",
