과 목,주석,제 49 (당) 기,,제 48 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"70,155,189",,"69,981,128"
1. 현금및현금성자산,"4, 6, 7, 31","2,763,768",,"3,778,371",
2. 단기금융상품,"5, 6, 7, 31","25,510,064",,"30,170,656",
3. 매출채권,"6, 7, 10, 31","27,881,777",,"23,514,012",
4. 미수금,"6, 10","2,201,402",,"2,319,782",
5. 선급금,,"1,097,598",,"814,300",
6. 선급비용,,"2,281,179",,"2,375,520",
7. 재고자산,11,"7,837,144",,"5,981,634",
8. 기타유동자산,6,"582,257",,"743,163",
9. 매각예정분류자산,,-,,"283,690",
Ⅱ. 비 유 동 자 산,,,"128,086,171",,"104,821,831"
1. 장기매도가능금융자산,"6, 9, 31","973,353",,"913,989",
"2. 종속기업, 관계기업 및 공동기업 투자",12,"55,671,759",,"48,743,079",
3. 유형자산,13,"62,816,961",,"47,228,830",
4. 무형자산,14,"2,827,035",,"2,891,844",
5. 장기선급비용,,"3,031,327",,"3,507,399",
6. 순확정급여자산,17,"811,210",,"557,091",
7. 이연법인세자산,28,"586,161",,"110,239",
8. 기타비유동자산,6,"1,368,365",,"869,360",
자 산 총 계,,,"198,241,360",,"174,802,959"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"44,495,084",,"34,076,122"
1. 매입채무,"6, 31","6,398,629",,"6,162,650",
2. 단기차입금,"6, 8, 15, 31","12,229,701",,"9,061,167",
3. 미지급금,"6, 31","9,598,654",,"7,635,740",
4. 선수금,,"214,007",,"200,445",
5. 예수금,6,"500,740",,"389,528",
6. 미지급비용,6,"6,657,674",,"6,284,646",
7. 미지급법인세,,"6,565,781",,"2,055,829",
8. 유동성장기부채,"6, 16, 31","5,201",,"5,854",
9. 충당부채,18,"2,273,688",,"2,221,717",
10. 기타유동부채,,"51,009",,"58,546",
Ⅱ. 비 유 동 부 채,,,"2,176,501",,"3,180,075"
1. 사채,"6, 16, 31","46,808",,"58,542",
2. 장기미지급금,"6, 31","1,750,379",,"2,808,460",
3. 장기충당부채,18,"379,201",,"312,467",
4. 기타비유동부채,,113,,606,
부 채 총 계,,,"46,671,585",,"37,256,197"
자 본,,,,,
Ⅰ. 자본금,20,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,21,,"150,928,724",,"140,747,574"
Ⅳ. 기타자본항목,23,,"(4,660,356)",,"(8,502,219)"
자 본 총 계,,,"151,569,775",,"137,546,762"
부채와자본총계,,,"198,241,360",,"174,802,959"
