구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이,"12,598","122,269"
Samsung Electronics America(SEA),"5,255,201","78,931",
"Harman International Industries, Inc.",-,"4,204",
Samsung (China) Investment(SCIC),"31,580","1,556",
Samsung Display Vietnam(SDV),"111,479",-,
Samsung Semiconductor(SSI),"4,993,262","127,706",
Samsung Electronics Vietnam THAINGUYEN(SEVT),"723,655","1,601,102",
Samsung Electronics Vietnam(SEV),"517,266","1,368,151",
Samsung Electronics Europe Holding(SEEH),828,-,
Samsung (China) Semiconductor(SCS),"62,820","354,866",
Samsung Electronics Huizhou(SEHZ),"199,187","811,510",
Samsung India Electronics(SIEL),"1,821,881","14,594",
Samsung Asia Private(SAPL),"122,014","16,021",
Samsung Electronica da Amazonia(SEDA),"338,256",553,
Shanghai Samsung Semiconductor(SSS),"3,093,641",11,
Samsung Austin Semiconductor(SAS),"19,658","290,978",
Thai Samsung Electronics(TSE),"150,896","152,273",
Samsung Electronics Slovakia(SESK),"475,672",409,
