과 목,주 석,자본금,주식발행초과금,이익잉여금,기타자본항목,총 계
2017.1.1 (전기초),,"897,514","4,403,893","140,747,574","(8,502,219)","137,546,762"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"28,800,837",-,"28,800,837"
2. 매도가능금융자산평가손익,"9, 23",-,-,-,"(30,226)","(30,226)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"349,950","349,950"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,22,-,-,"(6,747,124)",-,"(6,747,124)"
2. 자기주식의 취득,"21, 23",-,-,-,"(8,350,424)","(8,350,424)"
3. 자기주식의 소각,"21, 23",-,-,"(11,872,563)","11,872,563",-
2017.12.31 (전기말),,"897,514","4,403,893","150,928,724","(4,660,356)","151,569,775"
2018.1.1 (당기초),,"897,514","4,403,893","150,928,724","(4,660,356)","151,569,775"
회계정책변경누적효과,,-,-,"61,021","(61,021)",-
수정후 기초자본,,"897,514","4,403,893","150,989,745","(4,721,377)","151,569,775"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"32,815,127",-,"32,815,127"
2. 기타포괄손익-공정가치금융자산평가손익,"8, 23",-,-,"(2,697)","(85,643)","(88,340)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"(289,981)","(289,981)"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,22,-,-,"(10,143,345)",-,"(10,143,345)"
2. 자기주식의 취득,"21, 23",-,-,-,"(875,111)","(875,111)"
3. 자기주식의 소각,"21, 23",-,-,"(7,103,298)","7,103,298",-
2018.12.31 (당기말),,"897,514","4,403,893","166,555,532","1,131,186","172,988,125"
