계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,(368),-,(368),(89),(12),(101)
토지재평가,"(3,444,254)","19,021","(3,425,233)","(833,510)","(108,429)","(941,939)"
"종속기업, 관계기업 및 공동기업 투자","(3,624,457)","(404,334)","(4,028,791)","(575,738)","(206,889)","(782,627)"
감가상각누계액 등,"42,672","169,789","212,461","10,326","48,101","58,427"
미수수익,"(235,889)","107,888","(128,001)","(57,085)","21,885","(35,200)"
충당부채 및 미지급비용 등,"7,667,914","(280,517)","7,387,397","1,855,635","175,889","2,031,524"
외화평가조정,"41,064","(233,233)","(192,169)","9,938","(62,784)","(52,846)"
자산손상,"971,181","418,362","1,389,543","235,026","147,098","382,124"
퇴직급여,"(1,814,995)","404,818","(1,410,177)","(439,229)","51,430","(387,799)"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"(1,579,417)","2,045,941","466,524","(318,529)","527,447","208,918"
소 계,"8,610,273","2,247,735","10,858,008","(113,255)","593,736","480,481"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"66,280","(33,646)","32,634","59,936","(27,302)","32,634"
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,"(263,390)","29,703","(233,687)","(63,740)",(524),"(64,264)"
순확정급여부채 재측정요소,"939,248","(439,938)","499,310","227,298","(89,988)","137,310"
소 계,"675,858","(410,235)","265,623","163,558","(90,512)","73,046"
,,,,계,,"586,161"
