지역,기업명,업종,지분율(%)(*)
유럽/CIS,Harman International Industries (UK),오디오제품 판매 등,100.0
Harman International Romania SRL,R&D,100.0,
Harman International s.r.o,오디오제품 생산,100.0,
Harman International SNC,오디오제품 판매,100.0,
Harman Management,Holding Company,100.0,
Harman Professional Kft,"오디오제품 생산, R&D",100.0,
Martin Manufacturing (UK),오디오제품 생산,100.0,
Harman Professional Denmark ApS,"오디오제품 판매, R&D",100.0,
Harman Professional France SAS,오디오제품 판매,100.0,
Red Bend Software (UK),소프트웨어 디자인,100.0,
Red Bend Software SAS,소프트웨어 디자인,100.0,
Studer Professional Audio,"오디오제품 판매, R&D",100.0,
Innoetics E.P.E.,소프트웨어 개발,100.0,
ARCAM,Holding Company,100.0,
A&R Cambridge,오디오제품 판매,100.0,
Zhilabs S.L.,"네트워크 Solution 개발, 판매",100.0,
