구 분,기업명(*1),채권 등,채무 등
종속기업,Samsung Suzhou LCD(SSL),"4,499",-
Samsung Electronics France(SEF),"551,773",333,
Samsung Electronics Benelux(SEBN),"24,733","2,402",
기타,"6,573,262","2,243,236",
종속기업 계(*2),"24,540,159","8,216,909",
관계기업 및 공동기업,삼성에스디에스,"5,192","467,438"
삼성전기,"2,989","112,336",
삼성SDI,"102,532","52,825",
제일기획,129,"461,326",
기타,"94,057","104,942",
관계기업 및 공동기업 계,"204,899","1,198,867",
그 밖의특수관계자,삼성물산,"196,829","1,678,553"
기타(*3),"14,849","119,154",
그 밖의 특수관계자 계,"211,678","1,797,707",
기타(*4),삼성엔지니어링,"1,029","428,191"
에스원,"2,454","29,113",
기타,"1,133","29,107",
기타 계,"4,616","486,411",
