과 목,주 석,제 51 (당) 기,,제 50 (전) 기,
Ⅰ. 영업활동 현금흐름,,,"22,796,257",,"44,341,217"
1. 영업에서 창출된 현금흐름,,"28,344,706",,"53,596,311",
가. 당기순이익,,"15,353,323",,"32,815,127",
나. 조정,29,"16,911,222",,"27,095,149",
다. 영업활동으로 인한 자산부채의 변동,29,"(3,919,839)",,"(6,313,965)",
2. 이자의 수취,,"673,363",,"459,074",
3. 이자의 지급,,"(306,633)",,"(343,270)",
4. 배당금 수입,,"4,625,181",,"779,567",
5. 법인세 납부액,,"(10,540,360)",,"(10,150,465)",
Ⅱ. 투자활동 현금흐름,,,"(13,537,171)",,"(31,678,548)"
1. 단기금융상품의 순감소(증가),,"6,212,479",,"(7,203,807)",
2. 장기금융상품의 처분,,"1,400,000",,-,
3. 장기금융상품의 취득,,-,,"(1,860,000)",
4. 기타포괄손익-공정가치금융자산의 처분,,"1,239",,"7,345",
5. 기타포괄손익-공정가치금융자산의 취득,,"(6,701)",,"(204,055)",
6. 당기손익-공정가치금융자산의 처분,,"7,334",,"7,421",
7. 당기손익-공정가치금융자산의 취득,,-,,"(1,776)",
"8. 종속기업, 관계기업 및 공동기업 투자의 처분",,"58,677",,"25,846",
"9. 종속기업, 관계기업 및 공동기업 투자의 취득",,"(925,139)",,"(520,660)",
10. 유형자산의 처분,,"600,901",,"340,558",
11. 유형자산의 취득,,"(17,240,242)",,"(21,387,378)",
12. 무형자산의 처분,,"1,965",,706,
13. 무형자산의 취득,,"(2,855,959)",,"(880,032)",
14. 사업결합으로 인한 현금유출액,,"(785,000)",,-,
15. 기타투자활동으로 인한 현금유출입액,,"(6,725)",,"(2,716)",
Ⅲ. 재무활동 현금흐름,,,"(9,787,719)",,"(12,818,480)"
1. 단기차입금의 순증가(감소),29,"(41,078)",,"(1,796,186)",
2. 자기주식의 취득,,-,,"(875,111)",
3. 사채 및 장기차입금의 상환,29,"(128,431)",,"(5,357)",
4. 배당금의 지급,,"(9,618,210)",,"(10,141,826)",
Ⅳ. 외화환산으로 인한 현금의 변동,,,"2,593",,-
Ⅴ. 현금및현금성자산의 증가(감소)(Ⅰ+Ⅱ+Ⅲ+Ⅳ),,,"(526,040)",,"(155,811)"
Ⅵ. 기초의 현금및현금성자산,,,"2,607,957",,"2,763,768"
Ⅶ. 기말의 현금및현금성자산,,,"2,081,917",,"2,607,957"
