구분,삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획
요약 재무상태표:,,,,,
유동자산,"3,525,293","5,881,776","1,577,684","5,519,342","1,889,015"
비유동자산,"5,119,621","2,132,073","4,402,725","13,830,379","378,586"
유동부채,"2,509,584","1,574,797","710,530","4,012,822","1,251,332"
비유동부채,"1,188,833","290,501","1,114,410","3,111,680","123,476"
요약 포괄손익계산서:,,,,,
매출,"8,193,023","10,034,219","535,806","9,158,272","3,468,786"
계속영업손익(*),"656,242","629,340","224,109","701,166","129,625"
기타포괄손익(*),"(26,415)","(49,834)","(2,967)","47,261","(11,256)"
총포괄손익(*),"629,827","579,506","221,142","748,427","118,369"
