구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"296,371",-,"1,109,506",-
"Samsung Electronics America, Inc.(SEA)","25,947,874",-,"170,222",-,
Harman과 그 종속기업(*2),-,-,"144,447",-,
"Samsung (CHINA) Investment Co., Ltd.(SCIC)","548,807",-,"7,485",-,
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)","6,762,858",456,"18,745,823",608,
"Samsung (China) Semiconductor Co., Ltd.(SCS)","433,109","362,161","5,445,299","36,882",
"Samsung Electronics Vietnam Co., Ltd.(SEV)","4,227,935",730,"14,114,536",458,
"Samsung Semiconductor, Inc.(SSI)","13,538,834",-,"459,832","3,678",
Samsung Asia Private Ltd.(SAPL),"1,546,887",-,"34,588",-,
"Samsung Display Vietnam Co., Ltd.(SDV)","833,203",-,-,-,
Samsung Electronica da Amazonia Ltda.(SEDA),"1,339,423",8,720,-,
Samsung India Electronics Private Ltd.(SIEL),"4,856,926",107,"2,976,359",-,
Samsung Austin Semiconductor LLC.(SAS),51,"12,807","3,897,162",-,
"Shanghai Samsung Semiconductor Co., Ltd.(SSS)","18,401,945",-,"92,670",-,
"Thai Samsung Electronics Co., Ltd.(TSE)","1,426,618",155,"1,824,003",-,
Samsung Electronics (UK) Ltd.(SEUK),"258,150",-,"112,884",-,
"Samsung Electronics HCMC CE Complex Co., Ltd.(SEHC)","472,809",650,"3,600,154",-,
Samsung Electronics GmbH(SEG),"2,974,269",-,"18,487",-,
Samsung Electronics Hungarian Private Co. Ltd.(SEH),"665,434",-,"1,564",26,
"Samsung SemiConductor Xian Co., Ltd.(SSCX)","3,982,935",-,"118,948",-,
Samsung Electronics Europe Logistics B.V.(SELS),"3,129,396",-,"18,409",-,
Samsung Electronics Benelux B.V.(SEBN),"19,813",-,"2,465",-,
"Samsung Suzhou LCD Co., Ltd.(SSL)","32,213",-,-,-,
"Samsung Display Dongguan Co., Ltd.(SDD)","137,643",-,-,-,
기타,"44,985,051","5,807","20,918,718","9,963",
종속기업 계,"136,818,554","382,881","73,814,281","51,615",
