구분,기업명(*1),채권 등,채무 등(*2)
종속기업,삼성디스플레이㈜,"16,232","163,386"
"Samsung Electronics America, Inc.(SEA)","4,698,974","157,317",
Harman과 그 종속기업(*3),-,"15,017",
"Samsung (CHINA) Investment Co., Ltd.(SCIC)","88,657","16,564",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)","599,646","1,931,886",
"Samsung (China) Semiconductor Co., Ltd.(SCS)","139,874","419,294",
"Samsung Electronics Vietnam Co., Ltd.(SEV)","389,210","1,798,113",
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),259,-,
"Samsung Semiconductor, Inc.(SSI)","2,845,229","316,567",
Samsung Asia Private Ltd.(SAPL),"111,318","13,200",
"Samsung Display Vietnam Co., Ltd.(SDV)","63,993",-,
Samsung Electronica da Amazonia Ltda.(SEDA),"428,198","2,148",
Samsung India Electronics Private Ltd.(SIEL),"2,003,078","241,310",
Samsung Austin Semiconductor LLC.(SAS),"6,586","333,194",
"Shanghai Samsung Semiconductor Co., Ltd.(SSS)","2,455,224",3,
"Thai Samsung Electronics Co., Ltd.(TSE)","108,403","221,205",
Samsung Electronics (UK) Ltd.(SEUK),"85,813","25,329",
"Samsung Electronics HCMC CE Complex Co., Ltd.(SEHC)","274,829","303,913",
Samsung Electronics GmbH(SEG),"737,175","2,276",
Samsung Electronics Hungarian Private Co. Ltd.(SEH),"55,907",26,
"Samsung SemiConductor Xian Co., Ltd.(SSCX)","1,821,955",-,
Samsung Electronics Europe Logistics B.V.(SELS),"957,252","1,499",
Samsung Electronics Benelux B.V.(SEBN),"3,465","3,275",
"Samsung Suzhou LCD Co., Ltd.(SSL)","5,257",-,
"Samsung Display Dongguan Co., Ltd.(SDD)","9,737",-,
기타,"6,967,309","2,076,526",
종속기업 계(*4),"24,873,580","8,042,048",
