기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"100,693,398",16.0,"735,488","708,882","732,041"
㈜호텔신라,"2,004,717",5.1,"13,957","164,988","182,028"
㈜아이마켓코리아,"647,320",1.8,324,"5,658","6,732"
㈜케이티스카이라이프,"240,000",0.5,"3,344","2,114","2,093"
㈜용평리조트,"400,000",0.8,"1,869","1,702","2,400"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","19,263","11,733"
㈜원익홀딩스,"1,759,171",2.3,"15,410","11,153","9,605"
㈜원익아이피에스,"1,850,936",3.8,"16,214","81,904","66,356"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","90,078","41,337"
솔브레인홀딩스㈜,"461,741",2.2,"30,752","20,825","70,400"
솔브레인㈜,"373,368",4.8,"24,866","101,668",-
㈜에스앤에스텍,"1,716,116",8.0,"65,933","74,651",-
와이아이케이㈜,"9,601,617",11.9,"47,336","60,010",-
㈜케이씨텍,"1,022,216",4.9,"20,720","31,433",-
㈜엘오티베큠,"1,267,668",7.7,"18,990","24,086",-
㈜뉴파워프라즈마,"2,140,939",4.9,"12,739","14,109",-
계,,,"1,082,567","1,412,524","1,124,725"
