기업명(*),당기,,,
자산,부채,매출액,당기순이익,
삼성디스플레이㈜,"50,039,755","7,612,332","27,149,102","1,798,100"
"Samsung Electronics America, Inc. (SEA)","36,765,070","15,828,083","35,237,365","1,623,555"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","15,438,819","12,358,881","2,475,454","127,051"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","14,348,735","3,511,003","5,321,312","1,100,619"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"11,495,430","7,641,709",-,"16,150"
Samsung Asia Pte. Ltd. (SAPL),"9,552,755","523,402","1,634,692","968,504"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","7,678,989","5,010,041","25,829,119","271,691"
Samsung Eletronica da Amazonia Ltda. (SEDA),"6,280,131","1,556,057","6,390,696","819,561"
Samsung India Electronics Private Ltd. (SIEL),"6,250,492","2,523,027","10,943,343","611,571"
"Thai Samsung Electronics Co., Ltd. (TSE)","2,920,299","451,055","3,744,080","160,264"
Samsung Electronics (UK) Ltd. (SEUK),"2,767,563","1,886,447","4,987,522","133,016"
Samsung Electronics GmbH (SEG),"2,687,535","2,626,979","6,306,675",605
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"2,230,457","504,952","3,665,360","148,056"
Samsung Electronics Benelux B.V. (SEBN),"2,145,488","736,480","2,324,308","58,579"
Samsung Electronics Europe Logistics B.V. (SELS),"1,700,033","1,550,350","13,444,960","20,623"
