기업명(*),전기,,,
자산,부채,매출액,당기순이익,
삼성디스플레이㈜,"46,543,974","6,421,516","27,088,475","407,791"
"Samsung Electronics America, Inc. (SEA)","34,704,039","13,992,397","33,859,423","1,127,719"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","14,637,222","11,701,871","3,098,948","581,115"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","12,370,070","2,678,742","5,445,396","537,037"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"10,682,847","7,662,042",-,"21,915"
Samsung Asia Pte. Ltd. (SAPL),"9,137,262","579,618","1,572,146","1,265,359"
Samsung Eletronica da Amazonia Ltda. (SEDA),"7,058,719","1,594,907","7,252,673","887,298"
Samsung India Electronics Private Ltd. (SIEL),"7,042,872","3,588,241","12,902,906","448,678"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","5,880,616","4,446,885","26,067,175","265,801"
"Thai Samsung Electronics Co., Ltd. (TSE)","2,912,731","450,833","3,921,248","144,087"
Samsung Electronics (UK) Ltd. (SEUK),"2,644,358","1,877,903","4,730,414","104,741"
Samsung Electronics GmbH (SEG),"2,258,269","2,199,561","5,597,323","4,729"
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"2,109,654","416,160","2,915,812","106,704"
"Samsung SemiConductor Xian Co., Ltd. (SSCX)","2,091,092","1,954,875","4,283,163","53,160"
Samsung Electronics Europe Logistics B.V. (SELS),"2,027,213","1,891,221","12,540,817","6,531"
