과 목,제 52 (당) 기,,제 51 (전) 기,
Ⅰ. 미처분이익잉여금,,"8,401,233",,"8,138,252"
1. 전기이월이익잉여금,30,,30,
"2. 분기배당 주당배당금(률) 제52기 - 1,062원(1062%) 제51기 - 1,062원(1062%)","(7,213,815)",,"(7,213,815)",
3. 당기순이익,"15,615,018",,"15,353,323",
4. 기타포괄손익-공정가치금융자산 처분,-,,"(1,286)",
Ⅱ. 임의적립금 등의 이입액,,"4,723,057",,-
1. 기업합리화적립금,"4,723,057",,-,
Ⅲ. 이익잉여금처분액,,"13,124,260",,"8,138,222"
1. 기업합리화적립금,-,,"2,500,000",
"2. 배당금 주당배당금(률) 제52기 - 보통주: 1,932원(1932%) 우선주: 1,933원(1933%) 제51기 - 보통주: 354원(354%) 우선주: 355원(355%)","13,124,260",,"2,405,428",
3. 연구및인력개발준비금,-,,"3,000,000",
4. 시설적립금,-,,"232,794",
Ⅳ. 차기이월미처분이익잉여금,,30,,30
