구 분,당기,전기
매출채권의 감소(증가),"1,680,321","135,029"
미수금의 감소(증가),"468,606","(890,448)"
장단기선급비용의 감소(증가),"(86,681)","(97,988)"
재고자산의 감소(증가),"(1,680,513)","330,937"
매입채무의 증가(감소),"(867,032)","316,922"
장단기미지급금의 증가(감소),"296,526","106,124"
선수금의 증가(감소),"68,806","141,087"
예수금의 증가(감소),"49,264","(189,252)"
미지급비용의 증가(감소),"2,030,147","(806,961)"
장단기충당부채의 증가(감소),"1,216,028","(159,412)"
퇴직금의 지급,"(410,608)","(246,095)"
사외적립자산의 감소(증가),"(1,964,705)","(1,607,429)"
기타,"(1,193,365)","(952,353)"
계,"(393,206)","(3,919,839)"
