구 분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산:,,,,
현금및현금성자산,"989,045",(*1),"2,081,917",(*1)
단기금융상품,"29,101,284",(*1),"26,501,392",(*1)
매출채권,"24,736,740",(*1),"26,255,438",(*1)
기타포괄손익-공정가치금융자산,"1,539,659","1,539,659","1,206,080","1,206,080"
당기손익-공정가치금융자산,"3,107","3,107","3,181","3,181"
기타,"4,149,950",(*1),"4,307,370",(*1)
계,"60,519,785",,"60,355,378",
금융부채:,,,,
매입채무,"6,599,025",(*1),"7,547,273",(*1)
단기차입금,"12,520,367",(*1),"10,228,216",(*1)
미지급금,"9,671,280",(*1),"9,031,752",(*1)
유동성장기부채,"87,571",(*2),"153,942",(*2)
사채,"31,909","36,507","39,520","52,144"
장기차입금,"150,397",(*2),"174,651",(*2)
장기미지급금,"935,038",(*1),"1,305,278",(*1)
기타,"3,423,251",(*1),"2,458,165",(*1)
계,"33,418,838",,"30,938,797",
