구분,기업명(*1),채권 등(*2),채무 등(*3)
종속기업,삼성디스플레이㈜,"32,521","108,011"
"Samsung Electronics America, Inc. (SEA)","868,937","983,709",
Samsung Asia Pte. Ltd. (SAPL),"1,604","1,812",
Harman과 그 종속기업(*4),-,"6,537",
"Samsung (China) Semiconductor Co., Ltd. (SCS)","57,423","751,693",
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","606,030","2,396,411",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","131,285","283,459",
"Samsung Semiconductor, Inc. (SSI)","4,700,427","263,757",
"Samsung Electronics Vietnam Co., Ltd. (SEV)","369,380","1,748,670",
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),693,-,
Samsung Austin Semiconductor LLC. (SAS),"21,309","386,640",
"Samsung Display Vietnam Co., Ltd. (SDV)","196,643",7,
Samsung India Electronics Private Ltd. (SIEL),"1,219,298","312,243",
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","1,623,968",77,
Samsung Eletronica da Amazonia Ltda. (SEDA),"227,180","3,037",
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","234,870","358,082",
"Thai Samsung Electronics Co., Ltd. (TSE)","115,103","379,098",
Samsung Electronics (UK) Ltd. (SEUK),"76,264",-,
Samsung Electronics Benelux B.V. (SEBN),"18,403",-,
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"11,449",-,
Samsung Electronics Europe Logistics B.V. (SELS),"273,816","506,872",
"Samsung Display Dongguan Co., Ltd. (SDD)","20,177",11,
세메스㈜,"54,327","561,368",
Samsung Electronics GmbH (SEG),"10,607",-,
Samsung Electronics Mexico S.A. De C.V. (SEM),"230,508","1,093",
기타,"6,565,258","2,226,116",
계,"17,667,480","11,278,703",
