계 정 과 목,당기,,,전기,,
기초잔액,증감액,기말잔액,기초잔액,증감액,기말잔액,
1) 일시적차이로 인한 이연법인세:,,,,,,
토지재평가,"(898,687)","1,998","(896,689)","(898,505)",(182),"(898,687)"
"종속기업, 관계기업 및 공동기업 투자(*)","(228,304)","6,902","(221,402)","(819,038)","590,734","(228,304)"
감가상각누계액 등,"(1,408,682)","324,105","(1,084,577)","(1,634,038)","225,356","(1,408,682)"
미수수익,"(3,564)","(28,996)","(32,560)","(2,487)","(1,077)","(3,564)"
충당부채 및 미지급비용 등,"5,433,027","153,938","5,586,965","3,613,572","1,819,455","5,433,027"
외화평가조정,"124,852","41,321","166,173","147,194","(22,342)","124,852"
자산손상,"181,641","3,687","185,328","184,282","(2,641)","181,641"
퇴직급여,"(1,879,227)","182,161","(1,697,066)","(1,427,630)","(451,597)","(1,879,227)"
기타,"539,804","(138,022)","401,782","624,180","(84,376)","539,804"
소 계,"1,860,860","547,094","2,407,954","(212,470)","2,073,330","1,860,860"
2) 이월결손금공제로 인한 이연법인세:,,,,,,
이월결손금이월액,"928,705","(928,705)",-,-,"928,705","928,705"
3) 세액공제로 인한 이연법인세:,,,,,,
세액공제이월액,"6,339,250","4,658,032","10,997,282","1,625,525","4,713,725","6,339,250"
4) 자본에 직접 가감하는 이연법인세:,,,,,,
기타포괄손익-공정가치금융자산평가손익 등,"(88,295)","(86,785)","(175,080)","43,991","(132,286)","(88,295)"
순확정급여부채(자산) 재측정요소,"890,838","212,438","1,103,276","685,466","205,372","890,838"
소 계,"802,543","125,653","928,196","729,457","73,086","802,543"
이연법인세자산(부채) 계,"9,931,358","4,402,074","14,333,432","2,142,512","7,788,846","9,931,358"
