구 분,당기,전기
매출채권의 감소(증가),"(5,566,775)","(6,883,154)"
미수금의 감소(증가),"(1,213,085)","612,652"
장단기선급비용의 감소(증가),"(286,511)","(339,588)"
재고자산의 감소(증가),"1,929,763","(4,399,456)"
매입채무의 증가(감소),"2,028,901","(701,579)"
장단기미지급금의 증가(감소),"1,304,136","(335,900)"
선수금의 증가(감소),"47,859","(18,100)"
예수금의 증가(감소),"70,984","(77,884)"
미지급비용의 증가(감소),"(50,071)","(1,677,917)"
장단기충당부채의 증가(감소),"1,638,190","1,076,981"
퇴직금의 지급,"(1,256,247)","(702,328)"
사외적립자산의 감소(증가),"1,021,978","(156,245)"
기타,"(429,208)","386,971"
계,"(760,086)","(13,215,547)"
