구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이㈜,"6,081,548",-,"1,978,814",-
"Samsung Electronics America, Inc. (SEA)","29,191,890",49,"239,434",-,
Samsung Asia Pte. Ltd. (SAPL),45,-,"19,630",-,
Samsung Austin Semiconductor LLC. (SAS),92,-,"4,998,728",-,
"Samsung Semiconductor, Inc. (SSI)","42,993,409",-,"952,847",-,
Harman과 그 종속기업(*2),"1,691",-,"86,182",-,
"Samsung (China) Semiconductor Co., Ltd. (SCS)","305,793","13,573","11,179,941","4,579",
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","2,623,756",-,"14,749",-,
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd. (SEVT)","2,822,390",461,"22,021,129","4,070",
Samsung India Electronics Private Ltd. (SIEL),"3,382,049",-,"6,247,023",-,
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),-,-,-,-,
"Samsung Electronics Vietnam Co., Ltd. (SEV)","1,715,000",-,"14,392,955",132,
"Samsung Display Vietnam Co., Ltd. (SDV)","1,567,614",-,-,-,
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","28,414,204",-,-,-,
"Samsung Electronics HCMC CE Complex Co., Ltd. (SEHC)","508,390",272,"6,049,850",-,
Samsung Eletronica da Amazonia Ltda. (SEDA),"2,470,490",149,"6,434",-,
Samsung Electronics (UK) Ltd. (SEUK),"1,921,656",-,"116,400",-,
"Thai Samsung Electronics Co., Ltd. (TSE)","2,283,763",20,"2,158,606",-,
"Samsung International, Inc. (SII)","259,766","1,753","7,316,100",-,
"Samsung Electronics Taiwan Co., Ltd. (SET)","4,652,560",-,"1,490",-,
세메스㈜,"6,286",-,"1,973,123",-,
Samsung Electronics GmbH (SEG),"3,367,756",-,"7,298",-,
Samsung Electronics Mexico S.A. De C.V. (SEM),"2,982,398",-,"10,331",-,
Samsung Electronics Europe Logistics B.V. (SELS),"6,291,992",-,"3,153",-,
Samsung Electronics Benelux B.V. (SEBN),"931,126",-,937,-,
기타,"50,898,717","22,109","13,541,160","7,969",
계,"195,674,381","38,386","93,316,314","16,750",
