과 목,주석,제 46 (당) 기,,제 45 (전) 기,
자 산,,,,,
Ⅰ. 유 동 자 산,,,"62,054,773",,"60,603,694"
1. 현금및현금성자산,"4, 6, 7","1,643,318",,"2,030,307",
2. 단기금융상품,"5, 6, 7","26,454,093",,"27,463,345",
3. 단기매도가능금융자산,"6, 9","2,137,533",,"1,488,527",
4. 매출채권,"6, 7, 10","18,940,786",,"17,748,978",
5. 미수금,10,"3,218,973",,"2,734,572",
6. 선급금,,"977,114",,"1,007,685",
7. 선급비용,,"1,846,360",,"1,373,140",
8. 재고자산,11,"5,553,834",,"5,880,463",
9. 기타유동자산,,"821,079",,"876,677",
10. 매각예정분류자산,"12, 34","461,683",,-,
Ⅱ. 비 유 동 자 산,,,"102,005,810",,"94,222,263"
1. 장기매도가능금융자산,"6, 9","7,106,234",,"3,956,952",
"2. 종속기업, 관계기업 및 공동기업 투자",12,"41,857,431",,"42,258,049",
3. 유형자산,13,"43,744,259",,"41,439,372",
4. 무형자산,14,"3,051,564",,"2,495,302",
5. 장기선급비용,,"4,415,935",,"2,951,813",
6. 순확정급여자산,17,"135,951",,-,
7. 기타비유동자산,,"1,694,436",,"1,120,775",
자 산 총 계,,,"164,060,583",,"154,825,957"
부 채,,,,,
Ⅰ. 유 동 부 채,,,"28,208,638",,"27,597,944"
1. 매입채무,6,"4,677,527",,"5,742,116",
2. 단기차입금,"6, 8, 15","2,928,182",,"2,811,565",
3. 미지급금,6,"6,460,166",,"5,404,573",
4. 선수금,,"139,803",,"141,582",
5. 예수금,,"596,164",,"514,235",
6. 미지급비용,,"7,413,148",,"5,952,745",
7. 미지급법인세,,"1,707,176",,"2,207,118",
8. 유동성사채,"6, 16","5,304",,"5,083",
9. 충당부채,18,"4,246,054",,"4,805,193",
10. 기타유동부채,,"14,855",,"13,734",
11. 매각예정분류부채,34,"20,259",,-,
Ⅱ. 비 유 동 부 채,,,"3,174,870",,"4,857,246"
1. 사채,"6, 16","63,648",,"66,079",
2. 장기미지급금,6,"2,305,055",,"769,002",
3. 순확정급여부채,17,-,,"1,500,222",
4. 이연법인세부채,29,"364,366",,"1,954,171",
5. 장기충당부채,18,"437,974",,"415,718",
6. 기타비유동부채,,"3,827",,"152,054",
부 채 총 계,,,"31,383,508",,"32,455,190"
자 본,,,,,
Ⅰ. 자본금,20,,"897,514",,"897,514"
1. 우선주자본금,,"119,467",,"119,467",
2. 보통주자본금,,"778,047",,"778,047",
Ⅱ. 주식발행초과금,,,"4,403,893",,"4,403,893"
Ⅲ. 이익잉여금,21,,"134,464,189",,"122,029,419"
Ⅳ. 기타자본항목,23,,"(7,113,271)",,"(4,960,059)"
Ⅴ. 매각예정분류기타자본항목,34,,"24,750",,-
자 본 총 계,,,"132,677,075",,"122,370,767"
부채와자본총계,,,"164,060,583",,"154,825,957"
