기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%),취득원가,장부가액(시장가치),장부가액(시장가치),
삼성SDI,"13,462,673",19.6,"1,542,857","1,561,670",-
삼성중공업,"40,675,641",17.6,"258,299","811,479","1,547,708"
삼성정밀화학,"2,164,970",8.4,"45,678","70,795","96,449"
호텔신라,"2,004,717",5.1,"13,957","183,231","133,314"
제일기획(*),"14,498,725",12.6,"223,941","249,378","82,465"
아이마켓코리아,"647,320",1.8,324,"18,384","16,668"
에이테크솔루션,"1,592,000",15.9,"26,348","7,578","9,568"
원익아이피에스,"3,610,108",4.5,"31,625","50,361","30,975"
케이티스카이라이프,"240,000",0.5,"3,344","4,404","7,092"
Rambus,"4,788,125",4.2,"92,682","58,368","47,851"
Seagate Technology,"12,539,490",3.8,"218,544","916,597","743,161"
SunEdison Semiconductor Limited,"2,425,578",5.8,"37,553","49,510",-
계,,,"2,495,152","3,981,755","2,715,251"
