해외종속기업,보증처,보증기간,실차입금,지급보증금액
Samsung Electronics America(SEA),SMBC 외,2017.4.10,"1,099,200","2,665,560"
Samsung Japan(SJC),Mizuho Bank 외,2015.12.16,"232,901","979,824"
Samsung Electronics Mexico(SEM),Santander 외,2015.12.16,"382,829","743,059"
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2015.12.16,"128,306","484,747"
Samsung Electronics Turkey(SETK),BTMU 외,2015.12.16,"94,396","461,664"
Samsung Electronics South Africa(SSA),Citibank 외,2015.12.16,"177,076","368,232"
Samsung Electronics Peru(SEPR),BBVA 외,2015.12.16,"68,940","197,856"
Samsung Electronics Chile(SECH),Citibank 외,2015.12.16,"59,722","195,658"
Samsung Electronica Colombia(SAMCOL),Citibank 외,2015.12.16,"74,232","138,499"
Samsung Electronics Morocco(SEMRC),SocGen 외,2015.12.16,"6,402","120,912"
Samsung R&D Institute Japan(SRJ),SMBC,2016.2.28,"23,004","23,004"
Samsung Electronics South Africa Production(SSAP),SCB,2015.11.8,"8,551","21,984"
Samsung Electronics Philippines(SEPCO),BOA,2015.11.8,"10,309","10,309"
기타,,,-,"3,965,497"
계,,,"2,365,868","10,376,805"
