구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"1,643,318",(*),"2,030,307",(*)
단기금융상품,"26,454,093",(*),"27,463,345",(*)
단기매도가능금융자산,"2,137,533","2,137,533","1,488,527","1,488,527"
매출채권,"18,940,786",(*),"17,748,978",(*)
장기매도가능금융자산,"7,106,234","7,106,234","3,956,952","3,956,952"
기타,"4,884,383","4,861,921","3,935,422","3,920,749"
소계,"61,166,347",,"56,623,531",
금융부채,,,,
매입채무,"4,677,527",(*),"5,742,116",(*)
단기차입금,"2,928,182",(*),"2,811,565",(*)
미지급금,"6,358,319",(*),"5,299,184",(*)
유동성사채,"5,304",(*),"5,083",(*)
사채,"63,648","84,792","66,079","84,815"
장기미지급금,"2,305,055","2,390,956","769,002","835,869"
기타,"6,952,651",(*),"5,507,676",(*)
소계,"23,290,686",,"20,200,705",
