구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,"66,715","170,584"
Samsung Electronics America(SEA),"2,048,116","83,574",
Samsung (China) Investment(SCIC),"53,257","1,548",
Samsung Semiconductor(SSI),"2,557,253","142,030",
Samsung Electronics Europe Holding(SEEH),"3,988",-,
Samsung (China) Semiconductor(SCS),"31,386","380,942",
Samsung Electronics Vietnam(SEV),"315,779","233,287",
Samsung Austin Semiconductor(SAS),"19,409","293,235",
Samsung Telecommunications America(STA),"3,387,650","72,413",
Samsung Electronics Huizhou(SEHZ),"164,206","780,154",
Samsung Electronics Vietnam THAINGUYEN(SEVT),"363,275","150,136",
Samsung Electronica da Amazonia(SEDA),"206,198","2,707",
Samsung Asia Private(SAPL),"80,995","15,062",
Samsung India Electronics(SIEL),"984,352","56,825",
Shanghai Samsung Semiconductor(SSS),"1,261,644",686,
