구분,기업명,채권 등,채무 등
종속기업,Tianjin Samsung Telecom Technology(TSTC),"135,261","362,123"
Samsung Electronics Slovakia(SESK),"33,666",14,
Samsung Suzhou LCD(SSL),"2,097",-,
Thai Samsung Electronics(TSE),"113,326","101,890",
Samsung Electronics Europe Logistics(SELS),"236,265",176,
Samsung Electronics Taiwan(SET),"215,328","35,799",
Samsung Electronics Hungarian(SEH),"28,830",22,
Samsung Electronics (UK)(SEUK),"506,524","30,296",
Samsung Electronics Benelux(SEBN),"47,032",657,
Samsung Electronics GmbH(SEG),"122,230","8,119",
기타,"6,186,880","2,031,464",
종속기업 계(*1),"19,171,662","4,953,743",
관계기업,삼성에스디에스,"2,479","319,291"
삼성전기,"1,412","145,922",
삼성테크윈,59,"13,260",
삼성카드,"2,687","783,887",
기타,"41,850","50,117",
관계기업 계,"48,487","1,312,477",
공동기업,Siltronic Samsung Wafer,"19,143","11,445"
기타,184,812,
공동기업 계,"19,327","12,257",
그 밖의특수관계자,제일모직(*2),"164,962","201,693"
삼성SDI,"3,674","56,071",
기타,"14,139","25,659",
그 밖의 특수관계자 계,"182,775","283,423",
