기업명,당기말,,,,전기말
보유주식수(주),지분율(%),취득원가,장부가액(시장가치),장부가액(시장가치),
삼성SDI,"13,462,673",19.6,"1,542,857","1,534,745","1,561,670"
삼성중공업,"40,675,641",17.6,"258,299","441,331","811,479"
삼성정밀화학(*1),-,-,-,-,"70,795"
호텔신라,"2,004,717",5.1,"13,957","154,965","183,231"
제일기획,"14,498,725",12.6,"223,941","300,124","249,378"
아이마켓코리아,"647,320",1.8,324,"16,377","18,384"
에이테크솔루션,"1,592,000",15.9,"26,348","8,469","7,578"
원익아이피에스,"3,610,108",4.5,"31,625","40,975","50,361"
케이티스카이라이프,"240,000",0.5,"3,344","4,152","4,404"
Rambus,"4,788,125",4.1,"92,682","65,039","58,368"
Seagate Technology,"12,539,490",4.2,"218,543","538,765","916,597"
SunEdison Semiconductor Limited(*2),-,-,-,-,"49,510"
계,,,"2,411,920","3,104,942","3,981,755"
