해외종속기업,보증처,보증기간,금액,
실차입금,지급보증금액,,,
Samsung Electronics America(SEA),SMBC 외,2017-04-10,"1,172,000","2,842,100"
Samsung Electronics Turkey(SETK),BTMU 외,2016-12-16,"157,781","691,480"
Samsung Electronics South Africa(SSA),Citibank 외,2016-12-16,"147,673","392,620"
Samsung Electronics Poland Manufacturing(SEPM),HSBC,2016-06-13,"135,358","137,124"
Samsung Electronics Digital Appliance Mexico(SEDAM),Citibank 외,2016-12-16,"129,398","516,852"
Samsung Japan(SJC),Mizuho Bank 외,2016-12-16,"126,173","1,039,564"
Samsung Electronica Colombia(SAMCOL),Citibank 외,2016-12-16,"77,742","147,672"
Samsung Electronics Peru(SEPR),BBVA 외,2016-12-16,"68,015","210,960"
Simpress,BNP,2016-06-15,"42,609","70,320"
Samsung R&D Institute Japan(SRJ),SMBC,2016-02-28,"24,300","24,612"
Samsung Electronics South Africa Production(SSAP),SCB,2016-11-08,"16,721","35,160"
Samsung Electronics Central Eurasia(SECE),Citibank 외,2016-03-04,"1,383","178,144"
기타,,,-,"4,828,640"
합계,,,"2,099,153","11,115,248"
