계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,"(14,368)","7,000","(7,368)","(3,477)","1,694","(1,783)"
토지재평가,"(3,475,692)","19,734","(3,455,958)","(841,117)","4,775","(836,342)"
"종속기업, 관계기업 및 공동기업 투자","(3,133,334)","81,894","(3,051,440)","(624,408)","32,695","(591,713)"
감가상각누계액 등,"68,173","(19,911)","48,262","16,498","(4,819)","11,679"
미수수익,"(409,422)","166,388","(243,034)","(99,080)","40,266","(58,814)"
충당부채 및 미지급비용 등,"7,715,903","541,450","8,257,353","1,867,248","131,031","1,998,279"
외화평가조정,"94,774","43,493","138,267","22,935","10,526","33,461"
자산손상,"330,477","71,767","402,244","79,975","17,368","97,343"
퇴직급여,"(3,016,051)","711,206","(2,304,845)","(729,884)","172,112","(557,772)"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"(2,253,598)","3,807,057","1,553,459","(473,239)","916,896","443,657"
소 계,"6,493,684","5,430,078","11,923,762","(784,549)","1,322,544","537,995"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"333,709","(263,346)","70,363","286,393","(220,393)","66,000"
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,"(1,645,871)","826,311","(819,560)","(398,301)","199,967","(198,334)"
보험수리적평가,"2,198,723","(296,897)","1,901,826","532,091","(71,849)","460,242"
소 계,"552,852","529,414","1,082,266","133,790","128,118","261,908"
,,,,계,,"865,903"
