계 정 과 목,누적일시적차이,,,이연법인세자산(부채),,
기초잔액,증감액,기말잔액,기초이연법인세자산(부채),증감액,기말이연법인세자산(부채),
일시적차이로 인한 이연법인세,,,,,,
조세특례제한법상준비금,"(27,785)","13,417","(14,368)","(6,724)","3,247","(3,477)"
토지재평가,"(3,476,104)",412,"(3,475,692)","(841,217)",100,"(841,117)"
"종속기업, 관계기업 및 공동기업 투자","(3,461,074)","327,740","(3,133,334)","(685,444)","61,036","(624,408)"
감가상각누계액 등,"63,462","4,711","68,173","15,358","1,140","16,498"
미수수익,"(318,375)","(91,047)","(409,422)","(77,047)","(22,033)","(99,080)"
충당부채 및 미지급비용 등,"8,037,743","(321,840)","7,715,903","1,945,134","(77,886)","1,867,248"
외화평가조정,"(198,655)","293,429","94,774","(48,074)","71,009","22,935"
자산손상,"166,030","164,447","330,477","40,179","39,796","79,975"
퇴직급여,"(750,604)","(2,265,447)","(3,016,051)","(181,646)","(548,238)","(729,884)"
분할시투자주식평가증(*),"10,586,822",-,"10,586,822",-,-,-
기타,"(12,025,815)","9,772,217","(2,253,598)","(2,841,936)","2,368,697","(473,239)"
소 계,"(1,404,355)","7,898,039","6,493,684","(2,681,417)","1,896,868","(784,549)"
세액공제로 인한 이연법인세,,,,,,
세액공제이월액,"880,313","(546,604)","333,709","921,168","(634,775)","286,393"
자본에 직접 가감하는 이연법인세,,,,,,
매도가능금융자산평가이익 등,"(2,244,941)","599,070","(1,645,871)","(543,276)","144,975","(398,301)"
보험수리적평가,"1,443,613","755,110","2,198,723","349,354","182,737","532,091"
소 계,"(801,328)","1,354,180","552,852","(193,922)","327,712","133,790"
,,,,계,,"(364,366)"
