구 분,당기,전기
1. 매출채권의 증가,"(1,211,194)","(1,348,246)"
2. 미수금의 (증가)감소,"(246,935)","513,161"
3. 선급금의 (증가)감소,"(128,192)","30,300"
4. 장단기선급비용의 감소(증가),"437,406","(1,937,426)"
5. 재고자산의 증가,"(1,314,650)","(125,693)"
6. 매입채무의 감소,"(775,150)","(1,039,814)"
7. 장단기미지급금의 증가,"155,782","1,451,830"
8. 선수금의 증가(감소),"21,167","(1,758)"
9. 예수금의 (감소)증가,"(256,963)","84,534"
10. 미지급비용의 (감소)증가,"(1,219,506)","1,614,044"
11. 충당부채의 감소,"(121,675)","(674,588)"
12. 퇴직금의 지급,"(590,134)","(332,498)"
13. 사외적립자산의 감소(증가),"98,080","(2,975,072)"
14. 기타,"(416,998)","109,322"
계,"(5,568,962)","(4,631,904)"
