구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"802,934",-,"2,666,926","1,463"
Samsung Electronics America(SEA),"12,625,057",-,"8,170",-,
Samsung (China) Investment(SCIC),"755,971",-,"9,741",-,
Samsung Semiconductor(SSI),"13,432,528",-,"235,801",407,
Samsung Electronics Europe Holding(SEEH),"1,722",-,-,-,
Samsung (China) Semiconductor(SCS),"11,448","82,794","877,508",-,
Samsung Electronics Vietnam(SEV),"2,107,558","3,382","12,310,566","1,183",
Samsung Austin Semiconductor(SAS),294,"40,692","2,429,796","53,217",
Samsung Telecommunications America(STA),"17,984,552",-,"244,663",-,
Samsung Electronics Huizhou(SEHZ),"1,402,115",-,"11,856,829","1,361",
Samsung Electronics Vietnam THAINGUYEN(SEVT),"926,470","3,086","4,587,605",-,
Samsung Electronica da Amazonia(SEDA),"1,479,617",-,"12,453",-,
Samsung Asia Private(SAPL),"1,323,833",-,"11,512",-,
Samsung India Electronics(SIEL),"2,043,478",-,"204,332",-,
Shanghai Samsung Semiconductor(SSS),"6,810,676",-,-,-,
Tianjin Samsung Telecom Technology(TSTC),"1,372,924",-,"3,702,903",865,
Samsung Electronics Slovakia(SESK),"457,253",1,"4,176",-,
Samsung Suzhou LCD(SSL),"8,220",-,-,-,
Thai Samsung Electronics(TSE),"1,723,724",55,"1,779,344","1,343",
Samsung Electronics Europe Logistics(SELS),"4,220,655",-,"7,944",-,
Samsung Electronics Taiwan(SET),"2,994,614",-,"1,180",-,
Samsung Electronics Hungarian(SEH),"236,956",-,831,2,
Samsung Electronics (UK)(SEUK),"1,588,985",-,"73,317",-,
Samsung Electronics Benelux(SEBN),"648,780",-,-,-,
Samsung Electronics GmbH(SEG),"3,102,459",-,"54,141",-,
기타,"42,663,263","13,113","23,147,234","9,372",
종속기업 계,"120,726,086","143,123","64,226,972","69,213",
