구분,토지,건물및구축물,기계장치,건설중인자산,기타,계
기초장부가액,"6,295,538","8,459,613","19,045,504","9,290,646","652,958","43,744,259"
취득원가,"6,295,538","12,555,904","74,041,997","9,290,646","1,522,759","103,706,844"
감가상각누계액 (손상차손누계액 포함),-,"(4,096,291)","(54,996,493)",-,"(869,801)","(59,962,585)"
일반취득 및 자본적지출,"55,638","3,461,007","11,915,003","(3,613,602)","274,445","12,092,491"
감가상각,-,"(678,409)","(9,203,967)",-,"(207,372)","(10,089,748)"
처분/폐기,"(61,559)","(12,943)","(141,097)",-,"(130,197)","(345,796)"
손상,-,-,"(44,948)",-,-,"(44,948)"
기타,(495),"8,839","8,392","(219,290)","(5,075)","(207,629)"
기말장부가액,"6,289,122","11,238,107","21,578,887","5,457,754","584,759","45,148,629"
취득원가,"6,289,122","15,981,133","83,556,501","5,457,754","1,462,477","112,746,987"
감가상각누계액 (손상차손누계액 포함),-,"(4,743,026)","(61,977,614)",-,"(877,718)","(67,598,358)"
