구분,기업명,매출 등,비유동자산 처분,매입 등,비유동자산 매입
종속기업,삼성디스플레이,"639,243","2,640","2,468,945",-
Samsung Electronics America(SEA),"28,949,787",-,"271,891",-,
Samsung (China) Investment(SCIC),"538,430",-,"9,039",-,
Samsung (China) Semiconductor(SCS),"146,678","159,132","2,610,462","3,093",
Samsung Semiconductor(SSI),"17,045,585",-,"278,526",-,
Samsung Electronics Vietnam(SEV),"3,009,245","2,366","8,167,472",133,
Samsung Electronics Europe Holding(SEEH),"1,167",-,-,-,
Samsung Electronics Vietnam THAINGUYEN(SEVT),"2,372,753","13,415","9,318,599",69,
Samsung Electronics Huizhou(SEHZ),"2,159,283",110,"11,362,618",157,
Samsung Austin Semiconductor(SAS),695,"11,668","3,052,409","10,629",
Samsung Asia Private(SAPL),"1,355,515",-,"8,353",-,
Shanghai Samsung Semiconductor(SSS),"8,717,379",-,-,-,
Samsung India Electronics(SIEL),"2,635,630","1,809","190,986",-,
Samsung Electronica da Amazonia(SEDA),"955,467",41,"11,440",80,
Samsung Suzhou LCD(SSL),"21,155",-,-,-,
Tianjin Samsung Telecom Technology(TSTC),"866,538",-,"5,141,613","1,615",
Samsung Electronics Europe Logistics(SELS),"3,904,676",10,"9,253",-,
Thai Samsung Electronics(TSE),"2,008,447",-,"1,417,518",34,
Samsung Electronics Slovakia(SESK),"474,803",-,"4,615",-,
Samsung Electronics GmbH(SEG),"3,131,187",-,"35,322",-,
Samsung Display Dongguan(SDD),"362,217",-,-,-,
Samsung Electronics Benelux(SEBN),"284,625",-,-,-,
Samsung Electronics Hungarian(SEH),"303,712",-,"1,117",-,
Samsung Electronics Taiwan(SET),"2,717,071",-,"1,270",-,
Samsung Electronics (UK)(SEUK),"548,949",-,"61,348",-,
기타,"35,451,296","28,605","21,698,086","24,308",
종속기업 계,"118,601,533","219,796","66,120,882","40,118",
