구분,기업명,채권 등,채무 등
종속기업,삼성디스플레이,"33,891","104,432"
Samsung Electronics America(SEA),"4,002,270","91,491",
Samsung (China) Investment(SCIC),"41,588",982,
Samsung (China) Semiconductor(SCS),"47,117","280,356",
Samsung Semiconductor(SSI),"3,759,782","62,708",
Samsung Electronics Vietnam(SEV),"421,096","240,041",
Samsung Electronics Europe Holding(SEEH),"1,203",-,
Samsung Electronics Vietnam THAINGUYEN(SEVT),"372,639","240,281",
Samsung Electronics Huizhou(SEHZ),"180,951","817,281",
Samsung Austin Semiconductor(SAS),"6,284","370,959",
Samsung Asia Private(SAPL),"93,915","10,783",
Shanghai Samsung Semiconductor(SSS),"1,787,117","1,181",
Samsung India Electronics(SIEL),"1,274,392","17,460",
Samsung Electronica da Amazonia(SEDA),"104,956","4,231",
Samsung Suzhou LCD(SSL),"3,579",-,
