과 목,주석,자본금,주식발행초과금,이익잉여금,기타자본항목,매각예정분류기타자본항목,총 계
2016.1.1 (전기초),,"897,514","4,403,893","143,629,177","(12,526,126)","23,797","136,428,255"
Ⅰ. 총포괄손익,,,,,,,
1. 당기순이익,,-,-,"11,579,749",-,-,"11,579,749"
2. 매도가능금융자산평가,"9, 23",-,-,-,"(397,780)","(23,797)","(421,577)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"729,634",-,"729,634"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,,
1. 배당,"21, 22",-,-,"(3,061,361)",-,-,"(3,061,361)"
2. 자기주식의 취득,23,-,-,-,"(7,707,938)",-,"(7,707,938)"
3. 자기주식의 소각,23,-,-,"(11,399,991)","11,399,991",-,-
2016.12.31 (전기말),,"897,514","4,403,893","140,747,574","(8,502,219)",-,"137,546,762"
2017.1.1 (당기초),,"897,514","4,403,893","140,747,574","(8,502,219)",-,"137,546,762"
Ⅰ. 총포괄손익,,,,,,-,
1. 당기순이익,,-,-,"28,800,837",-,-,"28,800,837"
2. 매도가능금융자산평가,"9, 23",-,-,-,"(30,226)",-,"(30,226)"
3. 순확정급여자산 재측정요소,"17, 23",-,-,-,"349,950",-,"349,950"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,-,
1. 배당,"21, 22",-,-,"(6,747,124)",-,-,"(6,747,124)"
2. 자기주식의 취득,23,-,-,-,"(8,350,424)",-,"(8,350,424)"
3. 자기주식의 소각,23,-,-,"(11,872,563)","11,872,563",-,-
2017.12.31 (당기말),,"897,514","4,403,893","150,928,724","(4,660,356)",-,"151,569,775"
