구 분,당기,전기
1. 법인세비용,"7,732,715","3,145,325"
2. 금융수익,"(1,006,372)","(1,418,699)"
3. 금융비용,"935,742","1,056,546"
4. 퇴직급여,"641,891","813,704"
5. 감가상각비,"10,499,403","9,948,547"
6. 무형자산상각비,"1,086,298","1,143,430"
7. 대손상각비(환입),"57,822","48,063"
8. 배당금수익,"(1,732,247)","(560,096)"
9. 유형자산처분이익,"(150,121)","(179,071)"
10. 유형자산처분손실,"15,994","23,098"
11. 무형자산손상차손,"134,026","449,297"
12. 재고자산평가손실 등,"63,009","1,231,576"
13. 투자자산처분이익,"(544,444)","(1,052,890)"
"14. 기타 수익, 비용","279,260","261,263"
계,"18,012,976","14,910,093"
