구분,당기말,,전기말,
장부금액,공정가치,장부금액,공정가치,
금융자산,,,,
현금및현금성자산,"2,763,768",(*1),"3,778,371",(*1)
단기금융상품,"25,510,064",(*1),"30,170,656",(*1)
매출채권,"27,881,777",(*1),"23,514,012",(*1)
장기매도가능금융자산(*2),"973,353","895,670","913,989","821,478"
기타(*3),"3,623,263",(*3),"3,416,654","361,226"
소계,"60,752,225",,"61,793,682",
금융부채,,,,
매입채무,"6,398,629",(*1),"6,162,650",(*1)
단기차입금,"12,229,701",(*1),"9,061,167",(*1)
미지급금,"9,465,685",(*1),"7,519,413",(*1)
유동성장기부채,"5,201",(*1),"5,854",(*1)
사채,"46,808","61,943","58,542","76,129"
장기미지급금,"1,537,329",(*1),"2,585,366","2,587,619"
기타,"3,549,549",(*1),"6,037,993",(*1)
소계,"33,232,902",,"31,430,985",
