구 분,,,당기,전기
1분기,배당받을 주식,보통주,"119,395,651주","121,840,851주"
우선주,"16,457,734주","17,069,534주",,
배당률(액면가 기준),,354%,140%,
배당금액,보통주,"2,113,303","852,886",
우선주,"291,302","119,487",,
계,"2,404,605","972,373",,
2분기,배당받을 주식(*),보통주,"5,969,782,550주","121,038,051주"
우선주,"822,886,700주","16,868,834주",,
배당률(액면가 기준),,354%,140%,
배당금액,보통주,"2,113,303","847,266",
우선주,"291,302","118,082",,
계,"2,404,605","965,348",,
3분기,배당받을 주식(*),보통주,"5,969,782,550주","120,316,189주"
우선주,"822,886,700주","16,691,095주",,
배당률(액면가 기준),,354%,140%,
배당금액,보통주,"2,113,303","842,213",
우선주,"291,302","116,838",,
계,"2,404,605","959,051",,
