지역,기업명,업종,지분율(%)(*)
중동 및아프리카,Samsung Electronics West Africa(SEWA),마케팅,100.0
Samsung Electronics East Africa(SEEA),마케팅,100.0,
Samsung Gulf Electronics(SGE),전자제품 판매,100.0,
Samsung Electronics Egypt(SEEG),전자제품 생산 및 판매,100.0,
Samsung Electronics Israel(SEIL),마케팅,100.0,
Samsung Electronics Tunisia(SETN),마케팅,100.0,
Samsung Electronics Pakistan(SEPAK),마케팅,100.0,
Samsung Electronics South Africa(SSA),전자제품 판매,100.0,
Samsung Electronics Turkey(SETK),전자제품 판매,100.0,
Samsung Semiconductor Israel R&D Center(SIRC),R&D,100.0,
Samsung Electronics Levant(SELV),전자제품 판매,100.0,
Samsung Electronics Maghreb Arab(SEMAG),전자제품 판매,100.0,
Samsung Electronics South Africa Production(SSAP),TV/모니터 생산,100.0,
Broadsense,서비스,100.0,
Global Symphony Technology Group,Holding Company,100.0,
Harman Connected Services Morocco,Connected Service Provider,100.0,
Harman Industries Holdings Mauritius,Holding Company,100.0,
iOnRoad,R&D,100.0,
iOnRoad Technologies,R&D,100.0,
Red Bend,오디오제품 생산,100.0,
TowerSec (Israel),R&D,100.0,
