구분,기업명(*1),채권 등,채무 등
종속기업,삼성디스플레이,"15,338","182,541"
Samsung Electronics America(SEA),"4,932,605","72,147",
Samsung (China) Investment(SCIC),"36,616","5,215",
Harman과 그 종속기업(*2),"5,343","8,493",
Samsung Electronics Vietnam(SEV),"518,366","1,225,669",
Samsung Electronics Vietnam THAINGUYEN(SEVT),"673,277","2,406,151",
Samsung (China) Semiconductor(SCS),"69,891","331,097",
Samsung Semiconductor(SSI),"3,375,191","81,359",
Samsung Electronics Europe Holding(SEEH),517,-,
Samsung Display Vietnam(SDV),"118,248",134,
Samsung Asia Private(SAPL),"105,781","13,251",
Samsung Electronics Huizhou(SEHZ),"92,360","782,167",
Samsung India Electronics(SIEL),"2,026,325","169,499",
Samsung Electronica da Amazonia(SEDA),"427,141","1,398",
Samsung Austin Semiconductor(SAS),"7,130","259,818",
Shanghai Samsung Semiconductor(SSS),"3,304,263",63,
Thai Samsung Electronics(TSE),"124,502","171,847",
Samsung Electronics (UK)(SEUK),"48,993","20,224",
Samsung Electronics GmbH(SEG),"492,312","2,473",
Samsung Electronics HCMC CE Complex(SEHC),"252,661","235,795",
Samsung Electronics Europe Logistics(SELS),"697,276","1,567",
Samsung Electronics Hungarian(SEH),"61,756",30,
