과 목,주 석,제 51 (당) 기,,제 50 (전) 기,
Ⅰ. 매 출 액,31,,"154,772,859",,"170,381,870"
Ⅱ. 매 출 원 가,23,,"113,618,444",,"101,666,506"
Ⅲ. 매 출 총 이 익,,,"41,154,415",,"68,715,364"
판매비와관리비,"23, 24","27,039,348",,"25,015,913",
Ⅳ. 영 업 이 익,,,"14,115,067",,"43,699,451"
기 타 수 익,25,"5,223,302",,"972,145",
기 타 비 용,25,"678,565",,"504,562",
금 융 수 익,26,"4,281,534",,"3,737,494",
금 융 비 용,26,"3,908,869",,"3,505,673",
Ⅴ. 법인세비용차감전순이익,,,"19,032,469",,"44,398,855"
법 인 세 비 용,27,"3,679,146",,"11,583,728",
Ⅵ. 당 기 순 이 익,,,"15,353,323",,"32,815,127"
Ⅶ. 주 당 이 익,28,,,,
기본주당이익(단위:원),,,"2,260",,"4,830"
희석주당이익(단위:원),,,"2,260",,"4,830"
