기업명(*1),자산,부채,매출액,당기순이익(손실)
삼성디스플레이㈜,"46,543,974","6,421,516","27,088,475","407,791"
"Samsung Electronics America, Inc.(SEA)","34,704,039","13,992,397","33,859,423","1,127,719"
Harman과 그 종속기업(*2),"15,609,084","5,791,272","10,075,626","104,459"
"Samsung (CHINA) Investment Co., Ltd.(SCIC)","14,637,222","11,701,871","3,098,948","581,115"
"Samsung Electronics Vietnam THAINGUYEN Co., Ltd.(SEVT)","13,847,934","2,075,180","32,831,993","2,305,089"
"Samsung (China) Semiconductor Co., Ltd.(SCS)","12,370,070","2,678,742","5,445,396","537,037"
"Samsung Electronics Vietnam Co., Ltd.(SEV)","12,367,857","1,418,876","22,350,791","1,757,684"
Samsung Electronics Europe Holding Cooperatief U.A.(SEEH),"10,682,847","7,662,042",-,"21,915"
"Samsung Semiconductor, Inc.(SSI)","9,194,190","3,795,273","16,473,214","211,312"
Samsung Asia Private Ltd.(SAPL),"9,137,262","579,618","1,572,146","1,265,359"
"Samsung Display Vietnam Co., Ltd.(SDV)","7,267,124","4,587,477","16,613,123","601,469"
Samsung Electronica da Amazonia Ltda.(SEDA),"7,058,719","1,594,907","7,252,673","887,298"
Samsung India Electronics Private Ltd.(SIEL),"7,042,872","3,588,241","12,902,906","448,678"
Samsung Austin Semiconductor LLC.(SAS),"6,437,865","556,765","3,897,162","571,391"
"Shanghai Samsung Semiconductor Co., Ltd.(SSS)","5,880,616","4,446,885","26,067,175","265,801"
