구분,삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획
요약 재무상태표:,,,,,
유동자산,"3,507,525","6,383,847","1,356,262","5,181,415","1,787,299"
비유동자산,"5,166,724","2,637,389","4,555,365","14,670,682","504,347"
유동부채,"1,850,405","1,698,187","690,505","3,741,523","1,115,652"
비유동부채,"1,393,746","597,891","866,668","3,450,229","219,178"
요약 포괄손익계산서:,,,,,
매출,"8,040,818","10,719,632","701,592","10,097,426","3,421,673"
계속영업손익(*),"605,725","736,458","202,904","356,549","138,055"
세후중단영업손익(*),"(91,428)",-,-,-,-
기타포괄손익(*),"26,270","(17,665)","(3,919)","137,272","2,172"
총포괄손익(*),"540,567","718,793","198,985","493,821","140,227"
