과 목,제 51 (당) 기,,제 50 (전) 기,
Ⅰ. 미처분이익잉여금,,"8,138,252",,"18,556,368"
1. 전기이월이익잉여금,30,,30,
2. 회계정책변경누적효과 등,"(1,286)",,"58,324",
"3. 분기배당금 당기 - 주당배당금(률): 1,062원(1062%) 전기 - 주당배당금(률): 1,062원(1062%)","(7,213,815)",,"(7,213,815)",
4. 자기주식 소각,-,,"(7,103,298)",
5. 당기순이익,"15,353,323",,"32,815,127",
Ⅱ. 임의적립금 등의 이입액,,-,,-
Ⅲ. 이익잉여금처분액,,"8,138,222",,"18,556,338"
1. 기업합리화적립금,"2,500,000",,"5,000,000",
2. 배당금 주당배당금(률) 당기 - 보통주: 354원(354%) 우선주: 355원(355%) 전기 - 보통주: 354원(354%) 우선주: 355원(355%),"2,405,428",,"2,405,428",
3. 연구및인력개발준비금,"3,000,000",,"10,000,000",
4. 시설적립금,"232,794",,"1,150,910",
Ⅳ. 차기이월미처분이익잉여금,,30,,30
