구분,기업명(*1),매출 등,비유동자산 처분,매입 등,비유동자산 매입
관계기업 및 공동기업,삼성에스디에스㈜,"83,635",-,"1,837,876","456,400"
삼성전기㈜,"35,565",-,"1,309,616",16,
삼성SDI㈜,"55,949","16,106","294,075","77,813",
㈜제일기획,"24,743",-,"781,027",958,
기타,"438,875",-,"733,333","1,772",
관계기업 및 공동기업 계,"638,767","16,106","4,955,927","536,959",
그 밖의특수관계자,삼성물산㈜,"111,363",-,"217,617","4,057,175"
기타,"176,123",-,"455,355","57,405",
그 밖의 특수관계자 계,"287,486",-,"672,972","4,114,580",
기타(*2),삼성엔지니어링㈜,"5,488",-,"80,218","1,873,941"
㈜에스원,"10,114",-,"333,797","25,142",
기타,"104,221",38,"200,719","1,089",
기타 계,"119,823",38,"614,734","1,900,172",
