지역,기업명,업종,지분율(%)(*)
유럽ㆍCIS,AKG Acoustics GmbH,"오디오제품 생산, 판매",100.0
AMX UK Limited,오디오제품 판매,100.0,
Arcam Limited,해외자회사 관리,100.0,
A&R Cambridge Limited,오디오제품 판매,100.0,
Harman Audio Iberia Espana Sociedad Limitada,오디오제품 판매,100.0,
Harman Automotive UK Limited,오디오제품 생산,100.0,
Harman Becker Automotive Systems GmbH,"오디오제품 생산, 판매, R&D",100.0,
Harman Becker Automotive Systems Italy S.R.L.,오디오제품 판매,100.0,
Harman Becker Automotive Systems Manufacturing Kft,"오디오제품 생산, R&D",100.0,
Harman Belgium SA,오디오제품 판매,100.0,
Harman Connected Services AB.,Connected Service Provider,100.0,
Harman Finland Oy,Connected Service Provider,100.0,
Harman Connected Services GmbH,Connected Service Provider,100.0,
Harman Connected Services Limited,Connected Service Provider,100.0,
Harman Connected Services Poland Sp.zoo,Connected Service Provider,100.0,
Harman Connected Services UK Ltd.,Connected Service Provider,100.0,
Harman Consumer Nederland B.V.,오디오제품 판매,100.0,
Harman Deutschland GmbH,오디오제품 판매,100.0,
Harman Finance International GP S.a.r.l,해외자회사 관리,100.0,
Harman France SNC,오디오제품 판매,100.0,
Harman Holding Gmbh & Co. KG,Management Company,100.0,
Harman Hungary Financing Ltd.,Financing Company,100.0,
Harman Inc. & Co. KG,해외자회사 관리,100.0,
Harman International Estonia OU,R&D,100.0,
Harman International Industries Limited,"오디오제품 판매, R&D",100.0,
Harman International Romania SRL,R&D,100.0,
"Harman Finance International, SCA",Financing Company,100.0,
Harman International s.r.o,오디오제품 생산,100.0,
Harman Management GmbH,해외자회사 관리,100.0,
Harman Professional Kft,"오디오제품 생산, R&D",100.0,
Martin Manufacturing (UK) Ltd,오디오제품 생산,100.0,
Harman Professional Denmark ApS,"오디오제품 판매, R&D",100.0,
Red Bend Software Ltd.,소프트웨어 디자인,100.0,
Red Bend Software SAS,소프트웨어 디자인,100.0,
Studer Professional Audio GmbH,"오디오제품 판매, R&D",100.0,
Harman Connected Services OOO,Connected Service Provider,100.0,
Harman RUS CIS LLC,오디오제품 판매,100.0,
