구 분,전기,,,,
삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획,
요약 재무상태표:,,,,,
유동자산,"4,150,303","6,581,153","1,751,347","5,657,405","1,742,270"
비유동자산,"5,075,196","2,573,766","4,672,854","15,876,827","500,194"
유동부채,"1,914,880","1,720,757","589,301","4,983,633","1,046,224"
비유동부채,"1,400,223","575,054","1,236,117","3,191,672","180,710"
요약 포괄손익계산서:,,,,,
매출,"8,208,738","11,017,432","1,164,777","11,294,770","2,747,922"
계속영업손익(*),"595,938","443,455","240,975","574,723","157,400"
세후중단영업손익(*),"8,024",-,-,-,-
기타포괄손익(*),"(33,475)","(134,669)","3,354","144,901","(14,795)"
총포괄손익(*),"570,487","308,786","244,329","719,624","142,605"
