기 업 명,당기말,,,,전기말
보유주식수(주),지분율(%)(*),취득원가,장부금액(시장가치),장부금액(시장가치),
삼성중공업㈜,"134,027,281",15.2,"932,158","684,879","759,935"
㈜호텔신라,"2,004,717",5.1,"13,957","166,592","156,368"
㈜아이마켓코리아,"647,320",1.9,324,"6,538","6,926"
㈜케이티스카이라이프,"240,000",0.5,"3,344","1,954","2,194"
㈜용평리조트,"400,000",0.8,"1,869","1,412","1,958"
㈜에이테크솔루션,"1,592,000",15.9,"26,348","12,879","26,188"
㈜원익홀딩스,"1,759,171",2.3,"15,410","5,972","8,761"
㈜원익아이피에스,"1,850,936",3.8,"16,214","45,811","78,295"
㈜동진쎄미켐,"2,467,894",4.8,"48,277","73,913","125,863"
솔브레인홀딩스㈜,"461,741",2.2,"30,752","10,989","15,976"
솔브레인㈜,"373,368",4.8,"24,866","81,357","103,983"
㈜에스앤에스텍,"1,716,116",8.0,"65,933","45,220","63,153"
와이아이케이㈜,"9,601,617",11.7,"47,336","26,933","59,530"
㈜케이씨텍,"1,022,216",4.9,"20,720","15,129","24,584"
㈜엘오티베큠,"1,267,668",7.1,"18,990","14,326","21,805"
㈜뉴파워프라즈마,"2,140,939",4.9,"12,739","7,579","13,723"
㈜에프에스티,"1,522,975",7.0,"43,009","23,758","38,607"
㈜디엔에프,"810,030",7.0,"20,964","10,692","18,509"
Marvell,"173,187",0.0,"11,705","8,129","17,962"
"SoundHound AI, Inc.","1,702,957",0.9,"13,719","3,820",-
계,,,"1,368,634","1,247,882","1,544,320"
