구 분,당기,,,,
삼성전기㈜,삼성에스디에스㈜,삼성바이오로직스㈜,삼성SDI㈜,㈜제일기획,
요약 재무상태표:,,,,,
유동자산,"4,888,319","8,005,764","6,457,657","9,651,702","2,193,979"
비유동자산,"6,108,852","3,946,660","10,124,394","20,605,823","557,466"
유동부채,"2,525,123","2,493,323","4,181,542","8,006,939","1,335,643"
비유동부채,"778,563","992,132","3,416,034","5,033,084","194,373"
요약 포괄손익계산서:,,,,,
매출,"9,441,276","17,234,750","3,001,295","20,124,070","4,253,367"
계속영업손익(*),"993,519","1,099,745","798,056","1,952,149","193,732"
세후중단영업손익(*),-,-,-,-,-
기타포괄손익(*),"(9,601)","80,368","6,995","(139,877)","(1,122)"
총포괄손익(*),"983,918","1,180,113","805,051","1,812,272","192,610"
