구 분,,,당기,전기
1분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",,
배당률(액면가 기준),보통주ㆍ우선주,361%,361%,
배당금액,보통주,"2,155,092","2,155,092",
우선주,"297,062","297,062",,
계,"2,452,154","2,452,154",,
2분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",,
배당률(액면가 기준),보통주ㆍ우선주,361%,361%,
배당금액,보통주,"2,155,092","2,155,092",
우선주,"297,062","297,062",,
계,"2,452,154","2,452,154",,
3분기,배당받을 주식,보통주,"5,969,782,550주","5,969,782,550주"
우선주,"822,886,700주","822,886,700주",,
배당률(액면가 기준),보통주ㆍ우선주,361%,361%,
배당금액,보통주,"2,155,092","2,155,092",
우선주,"297,062","297,062",,
계,"2,452,154","2,452,154",,
