과 목,주 석,자본금,주식발행초과금,이익잉여금,기타자본항목,총 계
2022.1.1(전기초),,"897,514","4,403,893","188,774,335","(882,010)","193,193,732"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"25,418,778",-,"25,418,778"
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",-,-,"4,340","(213,223)","(208,883)"
3. 순확정급여부채(자산) 재측정요소,"14, 20",-,-,-,"822,001","822,001"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,-,-,"(9,809,437)",-,"(9,809,437)"
2022.12.31(전기말),,"897,514","4,403,893","204,388,016","(273,232)","209,416,191"
2023.1.1(당기초),,"897,514","4,403,893","204,388,016","(273,232)","209,416,191"
Ⅰ. 총포괄손익,,,,,,
1. 당기순이익,,-,-,"25,397,099",-,"25,397,099"
2. 기타포괄손익-공정가치금융자산평가손익,"6, 20",-,-,"(12,327)","368,799","356,472"
3. 순확정급여부채(자산) 재측정요소,"14, 20",-,-,-,"(572,551)","(572,551)"
Ⅱ. 자본에 직접 인식된 주주와의 거래,,,,,,
1. 배당,19,-,-,"(9,809,437)",-,"(9,809,437)"
2023.12.31(당기말),,"897,514","4,403,893","219,963,351","(476,984)","224,787,774"
