기업명(*),전기,,,
자산,부채,매출액,당기순이익,
삼성디스플레이㈜,"57,302,567","7,282,718","30,779,405","4,365,588"
"Samsung Electronics America, Inc. (SEA)","37,883,156","12,258,315","46,738,920","219,670"
Samsung Asia Pte. Ltd. (SAPL),"26,894,611","2,678,285",-,"8,699,679"
"Samsung (China) Semiconductor Co., Ltd. (SCS)","17,095,000","2,970,835","9,679,757","638,385"
"Samsung (CHINA) Investment Co., Ltd. (SCIC)","13,830,988","9,764,636","2,865,831","257,878"
Samsung Electronics Europe Holding Cooperatief U.A. (SEEH),"10,841,515","6,272,800",-,"57,997"
Samsung India Electronics Private Ltd. (SIEL),"6,772,537","3,571,863","16,180,492","508,510"
"Shanghai Samsung Semiconductor Co., Ltd. (SSS)","5,067,891","2,858,382","21,370,622","318,578"
Samsung Eletronica da Amazonia Ltda. (SEDA),"4,600,508","1,342,517","7,485,104","(38,490)"
"Thai Samsung Electronics Co., Ltd. (TSE)","3,263,473","486,820","4,824,734","168,524"
Samsung Electronics (UK) Ltd. (SEUK),"2,819,792","1,708,064","5,929,357","243,396"
Samsung Electronics Benelux B.V. (SEBN),"2,377,730","597,044","2,834,008","25,411"
Samsung Electronics Hungarian Private Co. Ltd. (SEH),"2,374,317","452,628","3,935,745","199,742"
Samsung Electronics Europe Logistics B.V. (SELS),"2,194,975","2,021,491","15,409,984","20,347"
세메스㈜,"2,065,558","602,323","2,889,238","185,762"
